Respondent_ID,Timestamp,Age_Group,Gender,Region,Education,Preferred_Tool,Satisfaction,Feedback,Date
R0260,2024-03-09,25-34,Male,East,Undergraduate,SQL,4,Excel dashboards are quick to build.,2024-03-09
R0261,2024-03-20,25-34,Female,West,Undergraduate,SQL,4,Python has a huge community and many libraries.,2024-03-20
R0262,2024-03-17,25-34,Female,West,Postgraduate,Excel,4,R is great for statistics and research.,2024-03-17
R0263,2024-03-30,25-34,Male,South,Working Professional,Excel,5,Python has a huge community and many libraries.,2024-03-30
R0264,2024-03-17,18-24,Male,West,Postgraduate,SQL,5,Python automation saves a lot of time.,2024-03-17
R0265,2024-03-26,18-24,Female,West,Undergraduate,R,5,Tableau makes visualizations very easy.,2024-03-26
R0266,2024-03-20,18-24,Female,South,Postgraduate,Python,5,SQL is essential for database-related work.,2024-03-20
R0267,2024-03-12,25-34,Female,East,Postgraduate,Excel,3,Python has a huge community and many libraries.,2024-03-12
R0268,2024-03-30,18-24,Male,West,Postgraduate,SQL,4,I prefer Excel because it is beginner friendly.,2024-03-30
R0269,2024-03-07,35-44,Female,West,Undergraduate,SQL,4,Python has a huge community and many libraries.,2024-03-07
R0270,2024-03-02,18-24,Male,West,Postgraduate,SQL,3,Tableau makes visualizations very easy.,2024-03-02
R0271,2024-03-03,18-24,Male,North,Postgraduate,R,5,Excel dashboards are quick to build.,2024-03-03
R0272,2024-03-17,18-24,Male,South,Working Professional,SQL,1,SQL is essential for database-related work.,2024-03-17
R0273,2024-03-05,25-34,Female,North,Undergraduate,Python,5,Python automation saves a lot of time.,2024-03-05
R0274,2024-03-17,25-34,Female,South,Postgraduate,R,4,R is great for statistics and research.,2024-03-17
R0275,2024-03-24,18-24,Female,East,Working Professional,Python,4,Python automation saves a lot of time.,2024-03-24
R0276,2024-03-17,18-24,Male,East,Undergraduate,Python,4,Tableau makes visualizations very easy.,2024-03-17
R0277,2024-03-27,25-34,Female,West,Working Professional,Python,5,SQL is essential for database-related work.,2024-03-27
R0278,2024-03-17,18-24,Male,South,Postgraduate,Python,4,Python has a huge community and many libraries.,2024-03-17
R0279,2024-03-02,35-44,Female,East,Undergraduate,Excel,4,Excel dashboards are quick to build.,2024-03-02
R0280,2024-03-02,25-34,Male,South,Undergraduate,Python,2,Python is very powerful and easy to learn.,2024-03-02
R0281,2024-03-28,18-24,Male,East,Postgraduate,R,4,Excel dashboards are quick to build.,2024-03-28
R0282,2024-03-22,18-24,Male,North,Undergraduate,Python,3,Python is very powerful and easy to learn.,2024-03-22
R0283,2024-03-23,45+,Male,East,Postgraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-23
R0284,2024-03-05,18-24,Female,North,Undergraduate,Python,4,Excel dashboards are quick to build.,2024-03-05
R0285,2024-03-01,18-24,Male,East,Postgraduate,Python,4,SQL is essential for database-related work.,2024-03-01
R0286,2024-03-01,35-44,Male,West,Undergraduate,Excel,1,Python is very powerful and easy to learn.,2024-03-01
R0287,2024-03-19,45+,Female,North,Working Professional,Excel,2,R is great for statistics and research.,2024-03-19
R0288,2024-03-30,45+,Male,East,Working Professional,Excel,5,SQL is essential for database-related work.,2024-03-30
R0289,2024-03-02,25-34,Female,West,Working Professional,R,2,R is great for statistics and research.,2024-03-02
R0290,2024-03-21,18-24,Female,North,Postgraduate,Python,2,Excel dashboards are quick to build.,2024-03-21
R0291,2024-03-12,18-24,Female,West,Undergraduate,SQL,1,R is great for statistics and research.,2024-03-12
R0292,2024-03-26,25-34,Male,South,Postgraduate,R,5,Python is very powerful and easy to learn.,2024-03-26
R0293,2024-03-06,25-34,Female,South,Undergraduate,R,5,SQL is essential for database-related work.,2024-03-06
R0294,2024-03-23,18-24,Female,North,Undergraduate,Python,4,Python has a huge community and many libraries.,2024-03-23
R0295,2024-03-04,35-44,Male,East,Undergraduate,Python,3,Tableau makes visualizations very easy.,2024-03-04
R0296,2024-03-23,18-24,Male,North,Undergraduate,Python,3,Python is very powerful and easy to learn.,2024-03-23
R0297,2024-03-11,18-24,Female,West,Postgraduate,Python,5,Python is very powerful and easy to learn.,2024-03-11
R0298,2024-03-24,18-24,Female,East,Postgraduate,Excel,4,Python has a huge community and many libraries.,2024-03-24
R0299,2024-03-27,18-24,Female,South,Undergraduate,R,3,SQL is essential for database-related work.,2024-03-27
R0300,2024-03-17,18-24,Female,East,Undergraduate,Excel,3,SQL is essential for database-related work.,2024-03-17
